country,year,lifeExp
Turkey,1952,44
Bosnia and Herzegovina,1952,54
Albania,1952,55
Serbia,1952,58
Montenegro,1952,59
Bulgaria,1952,60
Portugal,1952,60
Croatia,1952,61
Poland,1952,61
Romania,1952,61
Hungary,1952,64
Slovak Republic,1952,64
Spain,1952,65
Greece,1952,66
Italy,1952,66
Slovenia,1952,66
Austria,1952,67
Czech Republic,1952,67
Finland,1952,67
France,1952,67
Ireland,1952,67
Belgium,1952,68
Germany,1952,68
United Kingdom,1952,69
Switzerland,1952,70
Denmark,1952,71
Iceland,1952,72
Netherlands,1952,72
Sweden,1952,72
Norway,1952,73
Turkey,1957,48
Bosnia and Herzegovina,1957,58
Albania,1957,59
Montenegro,1957,61
Portugal,1957,62
Serbia,1957,62
Romania,1957,64
Croatia,1957,65
Hungary,1957,66
Poland,1957,66
Austria,1957,67
Bulgaria,1957,67
Finland,1957,67
Slovak Republic,1957,67
Spain,1957,67
Greece,1957,68
Italy,1957,68
Slovenia,1957,68
Belgium,1957,69
Czech Republic,1957,69
France,1957,69
Germany,1957,69
Ireland,1957,69
United Kingdom,1957,70
Switzerland,1957,71
Denmark,1957,72
Sweden,1957,72
Iceland,1957,73
Netherlands,1957,73
Norway,1957,73
Turkey,1962,52
Bosnia and Herzegovina,1962,62
Montenegro,1962,64
Portugal,1962,64
Albania,1962,65
Serbia,1962,65
Croatia,1962,67
Romania,1962,67
Hungary,1962,68
Poland,1962,68
Finland,1962,69
Italy,1962,69
Slovenia,1962,69
Austria,1962,70
Belgium,1962,70
Bulgaria,1962,70
Czech Republic,1962,70
Germany,1962,70
Greece,1962,70
Ireland,1962,70
Slovak Republic,1962,70
Spain,1962,70
France,1962,71
Switzerland,1962,71
United Kingdom,1962,71
Denmark,1962,72
Netherlands,1962,73
Norway,1962,73
Sweden,1962,73
Iceland,1962,74
Turkey,1967,54
Bosnia and Herzegovina,1967,65
Albania,1967,66
Montenegro,1967,67
Portugal,1967,67
Romania,1967,67
Serbia,1967,67
Croatia,1967,68
Slovenia,1967,69
Austria,1967,70
Bulgaria,1967,70
Czech Republic,1967,70
Finland,1967,70
Hungary,1967,70
Poland,1967,70
Belgium,1967,71
Germany,1967,71
Greece,1967,71
Ireland,1967,71
Italy,1967,71
Slovak Republic,1967,71
Spain,1967,71
United Kingdom,1967,71
France,1967,72
Denmark,1967,73
Switzerland,1967,73
Iceland,1967,74
Netherlands,1967,74
Norway,1967,74
Sweden,1967,74
Turkey,1972,57
Bosnia and Herzegovina,1972,67
Albania,1972,68
Portugal,1972,69
Romania,1972,69
Serbia,1972,69
Croatia,1972,70
Czech Republic,1972,70
Hungary,1972,70
Slovak Republic,1972,70
Slovenia,1972,70
Austria,1972,71
Belgium,1972,71
Bulgaria,1972,71
Finland,1972,71
Germany,1972,71
Ireland,1972,71
Montenegro,1972,71
Poland,1972,71
France,1972,72
Greece,1972,72
Italy,1972,72
United Kingdom,1972,72
Denmark,1972,73
Spain,1972,73
Iceland,1972,74
Netherlands,1972,74
Norway,1972,74
Switzerland,1972,74
Sweden,1972,75
Turkey,1977,60
Albania,1977,69
Romania,1977,69
Bosnia and Herzegovina,1977,70
Hungary,1977,70
Portugal,1977,70
Serbia,1977,70
Slovak Republic,1977,70
Bulgaria,1977,71
Croatia,1977,71
Czech Republic,1977,71
Poland,1977,71
Slovenia,1977,71
Austria,1977,72
Germany,1977,72
Ireland,1977,72
Belgium,1977,73
Finland,1977,73
Italy,1977,73
Montenegro,1977,73
United Kingdom,1977,73
France,1977,74
Greece,1977,74
Spain,1977,74
Denmark,1977,75
Netherlands,1977,75
Norway,1977,75
Sweden,1977,75
Switzerland,1977,75
Iceland,1977,76
Turkey,1982,61
Hungary,1982,69
Albania,1982,70
Croatia,1982,70
Romania,1982,70
Serbia,1982,70
Bosnia and Herzegovina,1982,71
Bulgaria,1982,71
Czech Republic,1982,71
Poland,1982,71
Slovak Republic,1982,71
Slovenia,1982,71
Austria,1982,73
Ireland,1982,73
Portugal,1982,73
Belgium,1982,74
Germany,1982,74
Montenegro,1982,74
United Kingdom,1982,74
Denmark,1982,75
Finland,1982,75
France,1982,75
Greece,1982,75
Italy,1982,75
Netherlands,1982,76
Norway,1982,76
Spain,1982,76
Sweden,1982,76
Switzerland,1982,76
Iceland,1982,77
Turkey,1987,63
Hungary,1987,70
Romania,1987,70
Bosnia and Herzegovina,1987,71
Bulgaria,1987,71
Poland,1987,71
Serbia,1987,71
Slovak Republic,1987,71
Albania,1987,72
Croatia,1987,72
Czech Republic,1987,72
Slovenia,1987,72
Ireland,1987,74
Portugal,1987,74
Austria,1987,75
Belgium,1987,75
Denmark,1987,75
Finland,1987,75
Germany,1987,75
Montenegro,1987,75
United Kingdom,1987,75
France,1987,76
Italy,1987,76
Norway,1987,76
Greece,1987,77
Iceland,1987,77
Netherlands,1987,77
Spain,1987,77
Sweden,1987,77
Switzerland,1987,77
Turkey,1992,66
Hungary,1992,69
Romania,1992,69
Bulgaria,1992,71
Poland,1992,71
Slovak Republic,1992,71
Albania,1992,72
Bosnia and Herzegovina,1992,72
Czech Republic,1992,72
Serbia,1992,72
Croatia,1992,73
Slovenia,1992,74
Denmark,1992,75
Ireland,1992,75
Montenegro,1992,75
Portugal,1992,75
Austria,1992,76
Belgium,1992,76
Finland,1992,76
Germany,1992,76
United Kingdom,1992,76
France,1992,77
Greece,1992,77
Italy,1992,77
Netherlands,1992,77
Norway,1992,77
Spain,1992,78
Sweden,1992,78
Switzerland,1992,78
Iceland,1992,79
Turkey,1997,69
Bulgaria,1997,70
Romania,1997,70
Hungary,1997,71
Serbia,1997,72
Albania,1997,73
Bosnia and Herzegovina,1997,73
Poland,1997,73
Slovak Republic,1997,73
Croatia,1997,74
Czech Republic,1997,74
Montenegro,1997,75
Slovenia,1997,75
Denmark,1997,76
Ireland,1997,76
Portugal,1997,76
Finland,1997,77
Germany,1997,77
United Kingdom,1997,77
Austria,1997,78
Belgium,1997,78
Greece,1997,78
Netherlands,1997,78
Norway,1997,78
France,1997,79
Iceland,1997,79
Italy,1997,79
Spain,1997,79
Sweden,1997,79
Switzerland,1997,79
Romania,2002,71
Turkey,2002,71
Bulgaria,2002,72
Hungary,2002,73
Serbia,2002,73
Bosnia and Herzegovina,2002,74
Montenegro,2002,74
Slovak Republic,2002,74
Croatia,2002,75
Poland,2002,75
Albania,2002,76
Czech Republic,2002,76
Denmark,2002,77
Portugal,2002,77
Slovenia,2002,77
Belgium,2002,78
Finland,2002,78
Greece,2002,78
Ireland,2002,78
United Kingdom,2002,78
Austria,2002,79
Germany,2002,79
Netherlands,2002,79
Norway,2002,79
France,2002,80
Iceland,2002,80
Italy,2002,80
Spain,2002,80
Sweden,2002,80
Switzerland,2002,81
Romania,2007,72
Turkey,2007,72
Bulgaria,2007,73
Hungary,2007,73
Serbia,2007,74
Bosnia and Herzegovina,2007,75
Montenegro,2007,75
Slovak Republic,2007,75
Albania,2007,76
Croatia,2007,76
Czech Republic,2007,76
Poland,2007,76
Denmark,2007,78
Portugal,2007,78
Slovenia,2007,78
Belgium,2007,79
Finland,2007,79
Germany,2007,79
Greece,2007,79
Ireland,2007,79
United Kingdom,2007,79
Austria,2007,80
Netherlands,2007,80
Norway,2007,80
France,2007,81
Italy,2007,81
Spain,2007,81
Sweden,2007,81
Iceland,2007,82
Switzerland,2007,82
